Tiempo pedido de pan y carne,Tiempo horno,Tiempo vegetales,Tiempo caja,Tiempo total,Cantidad de panes,Precio,Total Precio
2:11,0:30,0:46,2:14,5:41,1,35.38,35.38
1:27,0:45,0:00,0:10,2:22,1,35.38,35.38
0:25,0:20,0:29,1:07,2:21,1,35.38,35.38
0:49,0:30,1:18,0:56,3:33,2,35.38,70.77
0:32,0:30,1:25,0:42,3:09,1,35.38,35.38
2:11,0:45,0:44,0:36,4:16,2,35.38,70.77
3:07,0:30,0:41,0:39,4:57,1,35.38,35.38
4:01,0:35,0:40,0:27,5:43,1,35.38,35.38
0:49,0:20,0:00,0:37,1:46,1,35.38,35.38
1:05,0:30,0:29,0:41,2:45,1,35.38,35.38
1:18,0:30,0:16,0:51,2:55,1,35.38,35.38
1:47,0:25,0:43,1:11,4:06,1,35.38,35.38
2:21,0:20,0:33,1:04,4:18,1,35.38,35.38
0:50,0:30,0:46,0:44,2:50,2,35.38,70.77
1:20,0:30,1:26,0:35,3:51,2,35.38,70.77
0:59,0:20,0:24,1:28,3:11,2,35.38,70.77
0:30,0:30,0:37,0:40,2:17,1,35.38,35.38
0:40,0:25,0:29,0:42,2:16,1,35.38,35.38
0:52,0:25,0:27,0:41,2:25,1,35.38,35.38
0:43,0:25,0:23,0:51,2:22,1,35.38,35.38
0:47,0:15,0:57,1:01,3:00,1,35.38,35.38
0:43,0:25,0:42,0:39,2:29,1,35.38,35.38
0:51,0:20,1:09,0:19,2:39,1,35.38,35.38
2:14,0:15,1:11,0:39,4:19,1,35.38,35.38
0:53,0:45,0:54,1:12,3:44,1,35.38,35.38
1:00,0:20,1:14,0:50,3:24,2,35.38,70.77
0:49,0:20,0:27,0:39,2:15,1,35.38,35.38
1:38,0:25,0:24,0:46,3:13,2,35.38,70.77
0:52,0:30,0:00,1:28,2:50,1,35.38,35.38
0:48,0:25,0:20,1:22,2:55,1,35.38,35.38
